,Unnamed: 0,Season,1stA,2ndA,2HA,3rdA,4thA,CloseA,DateA,FinalA,MLA,OpenA,TeamA,VHA,1stB,2ndB,2HB,3rdB,4thB,CloseB,FinalB,MLB,OpenB,TeamB,ActualTotal,OpeningTotal,ClosingTotal,ProjDiffOpen,ProjDiffClose,ActualDiff,Date
4251,4251,2011,27.0,26,96.5,30,34,198.5,1212,117,185,197.5,Seattle,V,31,25,2.0,23,31,5.0,110,-215,4.5,NewYork,227,197.5,198.5,-4.5,-5.0,7,12-12-2010
4252,4252,2011,16.0,17,91.5,22,22,186.5,1212,77,150,1.0,Detroit,V,18,20,0.0,19,23,3.5,80,-170,180.5,Houston,157,180.5,186.5,1.0,-3.5,-3,12-12-2010
4253,4253,2011,20.0,20,6.0,21,25,5.0,1212,86,-210,3.5,Orlando,V,32,21,101.0,22,25,202.5,100,180,201.5,Milwaukee,186,201.5,202.5,3.5,5.0,-14,12-12-2010
4254,4254,2011,27.0,32,100.5,22,18,205.0,1212,99,305,205.5,NewOrleans,V,24,27,8.5,26,28,8.0,105,-365,7.0,Denver,204,205.5,205.0,-7.0,-8.0,-6,12-12-2010
4255,4255,2011,22.0,27,3.5,28,18,4.5,1212,95,-200,4.0,GoldenState,V,22,32,104.0,31,20,208.5,105,170,212.5,Portland,200,212.5,208.5,4.0,4.5,-10,12-12-2010
4256,4256,2011,22.0,23,112.5,20,33,225.5,1212,98,285,225.0,Utah,V,24,25,4.0,18,36,7.5,103,-335,5.5,Phoenix,201,225.0,225.5,-5.5,-7.5,-5,12-12-2010
4257,4257,2011,28.0,31,104.5,23,22,201.5,1213,104,220,205.0,Washington,V,16,33,5.5,21,21,6.0,91,-260,5.0,Miami,195,205.0,201.5,-5.0,-6.0,13,12-13-2010
4258,4258,2011,19.0,24,102.0,31,23,200.5,1213,97,240,198.5,SanAntonio,V,18,33,2.0,21,30,7.0,102,-290,5.5,LALakers,199,198.5,200.5,-5.5,-7.0,-5,12-13-2010
4259,4259,2011,21.0,20,1.5,28,35,204.0,1214,104,120,205.0,Toronto,V,25,27,100.0,23,18,2.5,93,-140,2.0,Indiana,197,205.0,204.0,-2.0,-2.5,11,12-14-2010
4260,4260,2011,23.0,19,5.0,30,31,5.5,1214,103,-235,5.0,Orlando,V,24,27,99.5,13,23,198.5,87,195,198.0,Charlotte,190,198.0,198.5,5.0,5.5,16,12-14-2010
4261,4261,2011,24.0,27,95.0,34,24,189.5,1214,109,195,188.0,Sacramento,V,28,23,4.0,23,25,5.5,99,-235,5.0,Philadelphia,208,188.0,189.5,-5.0,-5.5,10,12-14-2010
4262,4262,2011,21.0,23,94.0,15,23,189.0,1214,82,800,189.0,Milwaukee,V,25,21,7.5,32,26,12.5,104,-1200,12.5,Boston,186,189.0,189.0,-12.5,-12.5,-22,12-14-2010
4263,4263,2011,16.0,17,92.0,20,28,189.0,1214,81,450,182.5,Atlanta,V,21,26,1.5,17,27,9.5,91,-550,10.0,Detroit,172,182.5,189.0,-10.0,-9.5,-10,12-14-2010
4264,4264,2011,25.0,32,96.5,21,19,3.0,1214,97,-155,2.0,Cleveland,V,21,29,0.0,30,25,187.5,105,135,188.5,NewJersey,202,188.5,187.5,2.0,3.0,-8,12-14-2010
4265,4265,2011,11.0,32,99.5,32,24,201.5,1214,99,110,198.0,Seattle,V,26,20,0.0,19,23,2.0,88,-130,2.0,Minnesota,187,198.0,201.5,-2.0,-2.0,11,12-14-2010
4266,4266,2011,24.0,22,98.5,22,30,202.5,1214,98,155,203.5,LAClippers,V,19,25,3.5,22,25,4.0,91,-175,6.0,Memphis,189,203.5,202.5,-6.0,-4.0,7,12-14-2010
4267,4267,2011,13.0,22,94.5,22,23,194.5,1214,80,400,196.0,NewOrleans,V,24,19,2.0,18,28,8.5,89,-500,8.5,Dallas,169,196.0,194.5,-8.5,-8.5,-9,12-14-2010
4268,4268,2011,19.0,26,91.5,19,32,187.5,1214,96,645,190.5,NewYork,V,23,25,5.5,25,28,10.5,101,-845,9.0,Chicago,197,190.5,187.5,-9.0,-10.5,-5,12-14-2010
4269,4269,2011,26.0,28,4.5,20,17,6.5,1214,91,-255,5.0,Utah,V,28,25,103.0,17,29,198.0,99,215,199.0,Portland,190,199.0,198.0,5.0,6.5,-8,12-14-2010
4270,4270,2011,28.0,26,111.0,31,21,226.0,1214,106,230,228.0,LALakers,V,17,30,5.5,36,25,6.5,108,-270,4.5,GoldenState,214,228.0,226.0,-4.5,-6.5,-2,12-14-2010
4271,4271,2011,30.0,25,104.0,30,38,206.5,1215,123,750,208.5,Memphis,V,29,30,5.5,29,31,11.5,119,-1100,12.0,Orlando,242,208.5,206.5,-12.0,-11.5,4,12-15-2010
4272,4272,2011,24.0,27,103.5,16,12,200.5,1215,79,265,197.5,Sacramento,V,33,19,4.5,28,12,7.5,92,-315,8.0,Washington,171,197.5,200.5,-8.0,-7.5,-13,12-15-2010
4273,4273,2011,22.0,19,90.0,18,25,184.0,1215,84,220,186.5,Charlotte,V,23,26,1.0,25,19,6.5,93,-260,6.5,Atlanta,177,186.5,184.0,-6.5,-6.5,-9,12-15-2010
4274,4274,2011,18.0,33,96.0,16,25,191.0,1215,92,290,191.0,Philadelphia,V,26,20,7.0,22,18,7.5,86,-350,7.5,Cleveland,178,191.0,191.0,-7.5,-7.5,6,12-15-2010
4275,4275,2011,25.0,27,103.0,26,28,208.5,1215,106,235,208.0,Indiana,V,27,28,3.5,24,24,6.5,103,-275,4.0,Miami,209,208.0,208.5,-4.0,-6.5,3,12-15-2010
4276,4276,2011,24.0,14,4.0,24,24,3.5,1215,86,-190,1.5,NewJersey,V,18,22,96.5,30,24,188.0,94,160,188.0,NewYork,180,188.0,188.0,1.5,3.5,-8,12-15-2010
4277,4277,2011,26.0,20,7.0,34,18,6.5,1215,98,-290,5.0,Phoenix,V,31,28,99.5,21,21,208.0,101,240,208.0,NewOrleans,199,208.0,208.0,5.0,6.5,-3,12-15-2010
4278,4278,2011,27.0,23,99.5,18,23,202.0,1215,91,205,204.5,Denver,V,22,34,1.0,36,10,6.0,102,-245,6.5,SanAntonio,193,204.5,202.0,-6.5,-6.0,-11,12-15-2010
4279,4279,2011,25.0,13,94.0,30,28,188.0,1215,96,145,189.5,Dallas,V,21,20,0.0,20,22,3.5,83,-165,3.5,Houston,179,189.5,188.0,-3.5,-3.5,13,12-15-2010
4280,4280,2011,19.0,23,96.5,16,34,193.0,1215,92,315,193.5,Minnesota,V,22,18,6.0,26,29,8.0,95,-375,8.0,Milwaukee,187,193.5,193.0,-8.0,-8.0,-3,12-15-2010
4281,4281,2011,27.0,13,102.5,26,9,211.0,1215,75,900,212.5,Seattle,V,20,31,4.5,25,20,12.0,96,-1400,12.5,Utah,171,212.5,211.0,-12.5,-12.0,-21,12-15-2010
4282,4282,2011,22.0,13,4.0,32,20,208.0,1216,87,200,206.5,GoldenState,V,23,35,99.5,29,22,5.5,109,-240,7.0,Detroit,196,206.5,208.0,-7.0,-5.5,-22,12-16-2010
4283,4283,2011,27.0,23,90.5,21,19,180.5,1216,90,-110,2.0,Boston,V,17,19,4.0,18,23,0.0,77,-110,188.5,Toronto,167,188.5,180.5,2.0,-0.0,13,12-16-2010
4284,4284,2011,30.0,31,105.0,31,24,205.5,1216,116,415,205.5,Portland,V,25,24,9.0,24,32,9.0,105,-515,8.5,Denver,221,205.5,205.5,-8.5,-9.0,11,12-16-2010
4285,4285,2011,15.0,29,99.0,32,16,202.5,1216,92,275,198.0,LAClippers,V,29,28,0.0,25,31,7.0,113,-325,5.5,LALakers,205,198.0,202.5,-5.5,-7.0,-21,12-16-2010
4286,4286,2011,31.0,22,2.0,33,25,3.5,1217,111,-165,3.5,Utah,V,25,26,96.5,35,30,187.5,116,145,191.5,Atlanta,227,191.5,187.5,3.5,3.5,-5,12-17-2010
4287,4287,2011,24.0,20,96.0,19,22,193.5,1217,99,290,192.5,Milwaukee,V,26,20,4.5,14,25,7.5,104,-350,7.0,Cleveland,203,192.5,193.5,-7.0,-7.5,-5,12-17-2010
4288,4288,2011,26.0,27,100.0,31,35,2.5,1217,119,-145,2.5,Indiana,V,27,19,1.0,26,20,204.0,92,125,203.0,NewYork,211,203.0,204.0,2.5,2.5,27,12-17-2010
4289,4289,2011,24.0,23,96.5,17,23,194.5,1217,87,355,193.5,Minnesota,V,27,14,8.5,19,31,9.0,91,-425,9.5,Miami,178,193.5,194.5,-9.5,-9.0,-4,12-17-2010
4290,4290,2011,32.0,34,110.5,29,30,4.0,1217,125,-190,3.5,GoldenState,V,34,22,0.0,21,40,227.5,117,160,224.5,Memphis,242,224.5,227.5,3.5,4.0,8,12-17-2010
4291,4291,2011,26.0,25,100.0,23,26,204.0,1217,100,105,205.0,Phoenix,V,20,30,0.0,17,28,1.5,95,-125,2.5,SanAntonio,195,205.0,204.0,-2.5,-1.5,5,12-17-2010
4292,4292,2011,27.0,27,103.0,25,29,204.0,1217,108,200,203.0,Orlando,V,29,28,3.0,27,27,5.5,111,-240,6.0,Dallas,219,203.0,204.0,-6.0,-5.5,-3,12-17-2010
4293,4293,2011,20.0,19,1.0,21,16,2.0,1217,76,-130,2.0,NewOrleans,V,20,17,90.0,27,24,184.0,88,110,186.0,Portland,164,186.0,184.0,2.0,2.0,-12,12-17-2010
4294,4294,2011,28.0,24,95.5,25,29,187.5,1218,106,200,189.0,Sacramento,V,25,25,5.0,28,23,5.5,101,-240,5.0,NewJersey,207,189.0,187.5,-5.0,-5.5,5,12-18-2010
4295,4295,2011,21.0,28,101.0,24,30,202.0,1218,103,105,202.0,LALakers,V,15,30,2.0,23,23,2.0,91,-125,2.5,Chicago,194,202.0,202.0,-2.5,-2.0,12,12-18-2010
4296,4296,2011,19.0,22,4.5,24,15,4.5,1218,80,-220,4.5,Toronto,V,23,26,93.0,11,17,187.0,77,180,187.0,LAClippers,157,187.0,187.0,4.5,4.5,3,12-18-2010
4297,4297,2011,19.0,24,3.0,26,23,5.0,1219,92,-210,6.0,Utah,V,21,22,101.0,24,31,198.5,98,180,197.5,Charlotte,190,197.5,198.5,6.0,5.0,-6,12-19-2010
4298,4298,2011,28.0,19,100.5,20,18,202.0,1219,85,190,201.5,Philadelphia,V,26,24,2.5,31,21,5.0,102,-230,6.0,Indiana,187,201.5,202.0,-6.0,-5.0,-17,12-19-2010
4299,4299,2011,22.0,25,0.0,30,27,186.0,1219,111,110,187.5,Miami,V,25,26,92.0,31,22,2.0,117,-130,1.5,Atlanta,228,187.5,186.0,-1.5,-2.0,-6,12-19-2010
4300,4300,2011,20.0,25,101.5,20,30,195.5,1219,95,190,191.5,Chicago,V,27,13,6.0,23,21,5.5,84,-230,4.5,Washington,179,191.5,195.5,-4.5,-5.5,11,12-19-2010
4301,4301,2011,25.0,20,90.5,16,26,183.0,1219,87,210,180.0,Detroit,V,29,23,0.5,13,20,6.0,85,-250,6.0,Boston,172,180.0,183.0,-6.0,-6.0,2,12-19-2010
4302,4302,2011,30.0,20,5.0,20,20,2.5,1219,90,-150,3.5,Cleveland,V,31,32,95.5,24,21,191.0,108,130,194.5,NewYork,198,194.5,191.0,3.5,2.5,-18,12-19-2010
4303,4303,2011,19.0,16,7.5,24,26,7.0,1219,85,-310,6.5,SanAntonio,V,31,18,100.5,27,12,202.5,88,260,200.0,Memphis,173,200.0,202.5,6.5,7.0,-3,12-19-2010
4304,4304,2011,26.0,28,6.0,37,20,7.0,1219,111,-310,7.5,GoldenState,V,29,33,103.0,17,19,209.0,98,260,210.0,Minnesota,209,210.0,209.0,7.5,7.0,13,12-19-2010
4305,4305,2011,28.0,18,96.5,22,34,194.0,1219,102,235,194.5,Sacramento,V,26,21,4.0,21,21,6.5,89,-275,6.0,Milwaukee,191,194.5,194.0,-6.0,-6.5,13,12-19-2010
4306,4306,2011,15.0,29,96.0,27,26,193.5,1219,97,145,191.0,Orlando,V,22,18,2.5,22,30,3.5,92,-165,4.0,Houston,189,191.0,193.5,-4.0,-3.5,5,12-19-2010
4307,4307,2011,20.0,34,0.0,23,28,215.5,1219,105,135,216.0,Phoenix,V,37,21,106.0,25,25,3.0,108,-155,3.5,Dallas,213,216.0,215.5,-3.5,-3.0,-3,12-19-2010
4308,4308,2011,30.0,26,95.5,27,13,186.0,1219,96,125,186.0,Toronto,V,31,20,2.5,25,25,3.0,101,-145,2.0,Portland,197,186.0,186.0,-2.0,-3.0,-5,12-19-2010
4309,4309,2011,24.0,28,92.0,29,26,2.5,1219,107,-145,3.0,NewOrleans,V,17,16,3.5,30,30,191.5,93,125,191.5,Seattle,200,191.5,191.5,3.0,2.5,14,12-19-2010
4310,4310,2011,21.0,20,0.0,25,28,190.0,1220,107,105,189.0,NewJersey,V,21,23,99.0,26,24,1.5,103,-125,4.0,Miami,210,189.0,190.0,-4.0,-1.5,4,12-20-2010
4311,4311,2011,28.0,25,0.5,25,12,2.5,1220,90,-135,205.5,LALakers,V,28,23,102.0,22,21,204.0,94,115,1.0,Cleveland,184,205.5,204.0,-1.0,2.5,-4,12-20-2010
4312,4312,2011,23.0,19,97.5,27,25,199.5,1220,111,300,199.0,Houston,V,18,26,4.5,29,21,8.0,112,-360,5.5,Denver,223,199.0,199.5,-5.5,-8.0,-1,12-20-2010
4313,4313,2011,24.0,20,2.5,22,29,193.5,1221,95,215,190.0,NewYork,V,34,33,95.5,18,20,6.0,105,-255,5.0,Charlotte,200,190.0,193.5,-5.0,-6.0,-10,12-21-2010
4314,4314,2011,32.0,24,0.0,28,22,2.5,1221,106,-145,3.0,LALakers,V,24,29,100.0,28,20,198.5,101,125,199.5,Philadelphia,207,199.5,198.5,3.0,2.5,5,12-21-2010
4315,4315,2011,28.0,21,108.0,30,34,208.5,1221,113,160,210.0,Utah,V,27,23,2.0,20,24,4.0,94,-190,3.5,Orlando,207,210.0,208.5,-3.5,-4.0,19,12-21-2010
4316,4316,2011,19.0,22,91.0,26,15,184.0,1221,82,450,180.0,Chicago,V,26,30,1.0,31,20,9.5,107,-550,10.0,Boston,189,180.0,184.0,-10.0,-9.5,-25,12-21-2010
4317,4317,2011,25.0,20,98.0,23,29,190.5,1221,97,165,192.0,Atlanta,V,21,26,2.5,20,25,4.5,92,-195,5.5,Washington,189,192.0,190.5,-5.5,-4.5,5,12-21-2010
4318,4318,2011,40.0,15,5.0,30,33,5.5,1221,118,-235,5.5,Indiana,V,20,40,101.0,36,35,202.0,131,195,204.0,Minnesota,249,204.0,202.0,5.5,5.5,-13,12-21-2010
4319,4319,2011,18.0,20,99.0,16,13,200.5,1221,67,460,204.5,Memphis,V,21,21,5.0,26,26,10.0,94,-560,9.5,Detroit,161,204.5,200.5,-9.5,-10.0,-27,12-21-2010
4320,4320,2011,22.0,20,95.5,21,26,194.0,1221,89,700,194.5,LAClippers,V,23,31,3.0,19,29,11.5,102,-1000,12.0,Dallas,191,194.5,194.0,-12.0,-11.5,-13,12-21-2010
4321,4321,2011,22.0,30,101.0,24,20,206.0,1221,96,170,205.0,Denver,V,30,20,4.5,19,30,4.5,99,-200,2.0,Portland,195,205.0,206.0,-2.0,-4.5,-3,12-21-2010
4322,4322,2011,33.0,29,1.0,21,32,5.0,1221,115,-210,5.0,Toronto,V,33,23,98.5,36,31,196.0,123,180,196.0,Seattle,238,196.0,196.0,5.0,5.0,-8,12-21-2010
4323,4323,2011,18.0,16,102.0,27,24,205.5,1222,85,290,206.5,Washington,V,22,23,1.5,23,25,8.0,93,-350,5.5,Indiana,178,206.5,205.5,-5.5,-8.0,-8,12-22-2010
4324,4324,2011,17.0,28,2.5,27,23,2.0,1222,95,-135,2.0,GoldenState,V,27,25,104.5,28,20,211.5,100,115,210.0,NewJersey,195,210.0,211.5,2.0,2.0,-5,12-22-2010
4325,4325,2011,23.0,19,3.0,21,39,1.0,1222,102,-120,202.0,Utah,V,21,29,101.5,24,30,202.5,104,100,0.0,Miami,206,202.0,202.5,-0.0,1.0,-2,12-22-2010
4326,4326,2011,20.0,18,92.0,15,23,186.5,1222,76,750,184.0,Minnesota,V,30,23,2.5,26,31,12.0,110,-1100,11.0,NewOrleans,186,184.0,186.5,-11.0,-12.0,-34,12-22-2010
4327,4327,2011,25.0,22,99.0,22,30,199.0,1222,99,155,200.5,Philadelphia,V,30,22,1.0,22,23,4.0,97,-175,4.5,Memphis,196,200.5,199.0,-4.5,-4.0,2,12-22-2010
4328,4328,2011,21.0,31,93.0,34,30,1.5,1222,116,-125,180.5,Houston,V,26,22,0.5,24,26,184.0,98,105,0.0,Chicago,214,180.5,184.0,-0.0,1.5,18,12-22-2010
4329,4329,2011,16.0,23,92.0,24,27,186.5,1222,90,1500,189.0,LAClippers,V,24,36,3.5,17,22,15.5,99,-3000,15.0,SanAntonio,189,189.0,186.5,-15.0,-15.5,-9,12-22-2010
4330,4330,2011,26.0,21,95.5,24,28,192.5,1222,99,230,187.5,Charlotte,V,35,23,0.5,27,18,6.5,103,-270,6.5,Milwaukee,202,187.5,192.5,-6.5,-6.5,-4,12-22-2010
4331,4331,2011,30.0,31,105.5,22,20,214.0,1222,103,525,208.0,Toronto,V,35,31,5.0,37,19,10.0,122,-650,10.0,Phoenix,225,208.0,214.0,-10.0,-10.0,-19,12-22-2010
4332,4332,2011,31.0,24,101.0,20,20,7.0,1223,95,-320,7.0,LALakers,V,21,16,0.5,24,29,204.0,90,270,206.0,NewYork,185,206.0,204.0,7.0,7.0,5,12-23-2010
4333,4333,2011,38.0,25,102.0,28,14,209.5,1223,105,145,209.5,GoldenState,V,22,28,5.0,17,29,3.5,96,-165,1.0,Cleveland,201,209.5,209.5,-1.0,-3.5,9,12-23-2010
4334,4334,2011,22.0,22,93.0,16,22,183.5,1223,82,290,183.0,Houston,V,25,26,2.0,27,16,7.5,94,-350,7.5,Detroit,176,183.0,183.5,-7.5,-7.5,-12,12-23-2010
4335,4335,2011,21.0,21,96.0,22,27,193.0,1223,91,460,192.5,Orlando,V,27,22,3.5,29,25,9.5,103,-560,8.5,Boston,194,192.5,193.0,-8.5,-9.5,-12,12-23-2010
4336,4336,2011,23.0,28,3.0,26,29,210.5,1223,106,150,208.0,Denver,V,31,35,100.5,21,18,3.5,105,-170,3.0,Sacramento,211,208.0,210.5,-3.0,-3.5,1,12-23-2010
4337,4337,2011,17.0,30,97.0,14,21,194.0,1224,82,180,194.0,Miami,V,25,18,3.5,24,29,4.5,96,-210,4.5,Cleveland,178,194.0,194.0,-4.5,-4.5,-14,12-24-2010
4338,4338,2011,26.0,36,2.0,27,26,1.5,1224,115,-135,2.0,Phoenix,V,25,37,112.5,30,30,222.5,122,115,220.5,LALakers,237,220.5,222.5,2.0,1.5,-7,12-24-2010
4339,4339,2011,24.0,20,99.0,18,17,201.5,1224,79,290,197.5,Seattle,V,24,22,4.0,24,19,7.0,89,-350,7.5,Portland,168,197.5,201.5,-7.5,-7.0,-10,12-24-2010
4340,4340,2011,17.0,21,4.0,26,21,191.5,1226,85,135,191.5,Miami,V,25,30,93.5,19,22,3.0,96,-155,1.5,Philadelphia,181,191.5,191.5,-1.5,-3.0,-11,12-26-2010
4341,4341,2011,25.0,20,1.0,25,25,203.0,1226,95,130,199.5,Indiana,V,23,29,101.0,24,31,2.5,107,-150,2.0,Atlanta,202,199.5,203.0,-2.0,-2.5,-12,12-26-2010
4342,4342,2011,41.0,17,100.0,23,27,191.0,1226,108,190,188.0,Washington,V,30,25,4.5,19,30,5.0,104,-230,4.5,Charlotte,212,188.0,191.0,-4.5,-5.0,4,12-26-2010
4343,4343,2011,31.0,20,100.0,25,20,200.0,1226,96,575,200.5,NewYork,V,26,24,7.5,29,31,11.0,110,-725,10.5,Orlando,206,200.5,200.0,-10.5,-11.0,-14,12-26-2010
4344,4344,2011,26.0,19,3.5,31,25,5.0,1226,101,-215,5.0,Detroit,V,24,20,93.0,18,21,184.0,83,185,185.5,NewJersey,184,185.5,184.0,5.0,5.0,18,12-26-2010
4345,4345,2011,27.0,25,0.5,34,30,2.0,1226,116,-130,3.0,NewOrleans,V,29,21,99.0,23,25,200.5,98,110,201.0,Memphis,214,201.0,200.5,3.0,2.0,18,12-26-2010
4346,4346,2011,22.0,17,93.0,20,20,186.5,1226,79,425,186.5,Chicago,V,21,30,1.0,21,22,9.5,94,-525,9.5,SanAntonio,173,186.5,186.5,-9.5,-9.5,-15,12-26-2010
4347,4347,2011,17.0,21,3.0,28,39,210.5,1226,105,355,209.0,Milwaukee,V,28,40,101.5,27,30,8.5,125,-425,8.0,Denver,230,209.0,210.5,-8.0,-8.5,-20,12-26-2010
4348,4348,2011,18.0,28,103.5,24,20,203.5,1226,90,150,204.0,Dallas,V,29,18,1.5,31,21,3.5,99,-170,2.0,Utah,189,204.0,203.5,-2.0,-3.5,-9,12-26-2010
4349,4349,2011,18.0,35,93.0,13,23,7.5,1226,89,-350,6.0,Boston,V,16,13,3.0,27,13,191.0,69,290,187.5,Sacramento,158,187.5,191.0,6.0,7.5,20,12-26-2010
4350,4350,2011,24.0,19,103.5,31,27,212.0,1226,101,700,208.0,Minnesota,V,33,23,3.0,30,19,12.5,105,-1000,12.5,GoldenState,206,208.0,212.0,-12.5,-12.5,-4,12-26-2010
4351,4351,2011,23.0,24,96.0,21,20,193.5,1227,88,260,194.5,Cleveland,V,20,18,7.0,24,19,7.0,81,-320,6.5,Dallas,169,194.5,193.5,-6.5,-7.0,7,12-27-2010
4352,4352,2011,27.0,32,0.0,30,19,8.0,1227,108,-420,7.5,Phoenix,V,20,20,101.0,19,29,211.5,88,330,208.5,LAClippers,196,208.5,211.5,7.5,8.0,20,12-27-2010
4353,4353,2011,24.0,23,7.0,23,34,10.0,1227,104,-620,8.5,Boston,V,19,27,95.5,21,29,192.5,96,460,193.0,Seattle,200,193.0,192.5,8.5,10.0,8,12-27-2010
4354,4354,2011,28.0,25,94.0,28,18,3.5,1228,99,-160,3.5,NewOrleans,V,14,20,3.0,28,23,191.0,85,140,190.0,Charlotte,184,190.0,191.0,3.5,3.5,14,12-28-2010
4355,4355,2011,28.0,22,4.5,28,29,4.0,1228,121,-190,3.0,Orlando,V,26,28,99.5,21,32,199.0,114,160,199.0,Miami,235,199.0,199.0,3.0,4.0,7,12-28-2010
4356,4356,2011,27.0,32,101.5,27,20,191.5,1228,106,160,188.5,Washington,V,30,23,3.5,34,22,4.0,109,-190,4.5,NewJersey,215,188.5,191.5,-4.5,-4.0,-3,12-28-2010
4357,4357,2011,22.0,28,98.0,28,25,195.0,1228,103,-110,1.0,Houston,V,15,28,2.0,22,18,0.0,83,-110,193.5,Memphis,186,193.5,195.0,1.0,-0.0,20,12-28-2010
4358,4358,2011,19.0,22,1.5,29,31,198.0,1228,101,450,201.0,Indiana,V,24,40,96.5,29,21,9.5,114,-550,9.0,Detroit,215,201.0,198.0,-9.0,-9.5,-13,12-28-2010
4359,4359,2011,25.0,22,97.0,29,23,192.0,1228,99,210,191.5,Milwaukee,V,28,18,5.0,24,33,6.0,103,-250,6.0,Chicago,202,191.5,192.0,-6.0,-6.0,-4,12-28-2010
4360,4360,2011,19.0,25,91.0,15,24,184.5,1228,83,250,186.0,Toronto,V,16,16,7.0,24,17,7.0,73,-300,7.0,SanAntonio,156,186.0,184.5,-7.0,-7.0,10,12-28-2010
4361,4361,2011,19.0,28,101.5,18,23,210.0,1228,88,1100,211.0,LAClippers,V,27,24,7.5,15,28,13.0,94,-1800,13.5,Phoenix,182,211.0,210.0,-13.5,-13.0,-6,12-28-2010
4362,4362,2011,19.0,27,94.5,23,29,188.0,1228,98,365,187.5,Minnesota,V,25,30,1.5,23,31,8.5,109,-435,10.0,Portland,207,187.5,188.0,-10.0,-8.5,-11,12-28-2010
4363,4363,2011,26.0,24,94.0,13,29,188.5,1228,92,135,192.5,Philadelphia,V,25,21,3.0,17,17,3.0,80,-155,4.0,Sacramento,172,192.5,188.5,-4.0,-3.0,12,12-28-2010
4364,4364,2011,23.0,25,3.0,26,35,213.0,1228,109,190,211.0,Utah,V,38,37,110.5,31,17,5.0,123,-230,4.0,LALakers,232,211.0,213.0,-4.0,-5.0,-14,12-28-2010
4365,4365,2011,39.0,32,111.5,31,22,227.5,1228,124,180,227.5,Denver,V,32,32,5.0,33,23,5.0,120,-210,4.0,GoldenState,244,227.5,227.5,-4.0,-5.0,4,12-28-2010
4366,4366,2011,21.0,14,1.0,25,24,189.5,1229,84,315,190.0,Atlanta,V,34,20,94.5,21,22,8.0,97,-375,8.5,Dallas,181,190.0,189.5,-8.5,-8.0,-13,12-29-2010
4367,4367,2011,18.0,21,1.5,16,19,198.0,1229,74,290,194.5,Miami,V,26,32,100.0,24,14,8.0,96,-350,8.0,Washington,170,194.5,198.0,-8.0,-8.0,-22,12-29-2010
4368,4368,2011,25.0,27,2.0,24,22,4.0,1229,98,-190,4.5,Detroit,V,25,26,97.0,19,22,199.0,92,160,199.0,Indiana,190,199.0,199.0,4.5,4.0,6,12-29-2010
4369,4369,2011,29.0,22,100.0,21,23,202.0,1229,95,355,199.0,Charlotte,V,28,24,4.5,25,27,8.5,104,-425,9.5,Orlando,199,199.0,202.0,-9.5,-8.5,-9,12-29-2010
4370,4370,2011,18.0,24,91.5,15,19,185.5,1229,76,185,186.0,Cleveland,V,26,20,1.5,25,15,5.0,86,-215,3.5,NewOrleans,162,186.0,185.5,-3.5,-5.0,-10,12-29-2010
4371,4371,2011,19.0,21,90.0,24,15,181.0,1229,79,120,182.5,Toronto,V,19,21,2.0,28,23,2.5,91,-140,2.5,Houston,170,182.5,181.0,-2.5,-2.5,-12,12-29-2010
4372,4372,2011,19.0,24,102.0,22,32,194.0,1229,97,130,190.5,NewJersey,V,25,18,2.0,20,32,3.0,95,-150,2.5,Milwaukee,192,190.5,194.0,-2.5,-3.0,2,12-29-2010
4373,4373,2011,28.0,21,4.0,27,28,5.5,1229,104,-235,3.0,Boston,V,29,27,98.0,22,20,193.5,98,195,193.0,Utah,202,193.0,193.5,3.0,5.5,6,12-29-2010
4374,4374,2011,30.0,16,0.5,13,31,201.0,1229,90,190,200.0,Minnesota,V,21,36,100.0,27,25,5.5,109,-230,6.0,Seattle,199,200.0,201.0,-6.0,-5.5,-19,12-29-2010
4375,4375,2011,30.0,20,93.0,23,27,3.0,1230,100,-160,2.0,Chicago,V,22,21,0.0,14,26,188.0,83,140,193.0,NewYork,183,193.0,188.0,2.0,3.0,17,12-30-2010
4376,4376,2011,16.0,29,91.5,18,9,186.0,1230,72,200,182.0,Philadelphia,V,21,15,5.0,26,35,5.5,97,-240,7.0,Portland,169,182.0,186.0,-7.0,-5.5,-25,12-30-2010
4377,4377,2011,26.0,29,112.5,20,30,229.0,1230,105,150,227.5,GoldenState,V,21,30,5.0,21,23,4.0,95,-170,4.0,Denver,200,227.5,229.0,-4.0,-4.0,10,12-30-2010
4378,4378,2011,32.0,14,96.0,18,23,191.0,1230,87,400,197.5,Memphis,V,22,26,6.0,38,25,9.5,111,-500,12.0,SanAntonio,198,197.5,191.0,-12.0,-9.5,-24,12-30-2010
4379,4379,2011,32.0,32,2.5,29,24,9.0,1230,117,-435,8.0,Phoenix,V,28,27,100.5,31,16,209.0,102,365,210.5,Sacramento,219,210.5,209.0,8.0,9.0,15,12-30-2010
4380,4380,2011,32.0,21,99.5,29,28,198.0,1230,110,135,200.5,Boston,V,23,22,4.5,21,25,3.0,91,-155,1.0,LALakers,201,200.5,198.0,-1.0,-3.0,19,12-30-2010
4381,4381,2011,29.0,19,3.0,29,19,3.0,1231,112,-150,2.5,Orlando,V,30,25,100.0,20,21,197.0,110,130,196.5,Chicago,222,196.5,197.0,2.5,3.0,2,12-31-2010
4382,4382,2011,24.0,29,101.0,24,17,203.0,1231,103,105,202.5,Indiana,V,28,19,2.0,19,28,1.5,107,-125,0.0,Charlotte,210,202.5,203.0,-0.0,-1.5,-4,12-31-2010
